code_parametre;cas;ppp_usage;ppp_usages_typiques;statut_ue;date_expiration;autorisation_france;mentions;pnec_ugl;mentions_danger
5617;163515-14-8;herbicide;"Navet, Désherbage; Crucifères oléagineuses, Désherbage; Choux à inflorescence, Désherbage; Choux feuillus, Désherbage; Choux pommés, Désherbage; Poireau, Désherbage; Porte graine - PPAMC, Florales et Potagères, Désherbage; Betterave industrielle et fourragère, Désherbage";Approuvée;2034-08-31;Oui;;4.57;H302 H317 H400 H410
1678;87674-68-8;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Non approuvée;;;;;
1175;60-51-5;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;2019-06-30;;candidat à la substitution;;
1403;110488-70-5;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;2024-05-20;Non;;5.6;H360F H411
5312;624-92-0;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;En attente d'évaluation;;;;;
5748;149961-52-4;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;2023-07-31;;candidat à la substitution;0.032;H332 H351 H361d H400 H410
5619;39300-45-3;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;;;;;
1344;124-38-9;insecticide;"Traitements généraux, Trt Prod. Réc., Désinsectisation (1); Céréales, Trt Prod. Réc., Ravageurs des denrées stockées; Crucifères oléagineuses, Trt Prod. Réc., Ravageurs divers; Graines protéagineuses, Trt Prod. Réc., Ravageurs divers; Tabac, Trt Prod. Réc., Ravageurs des denrées stockées; Légumineuses potagères (sèches), Trt Prod. Réc., Coléoptères phytophages; Noisetier, Trt Prod. Réc., Désinsectisation; Chataignier, Trt Prod.Réc., Désinsectisation";"Non approuvée
Approuvée";2037-04-30;Oui;;;Sans classement
5478;122-39-4;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;;;;;
"1699
5621";"2764-72-9
85-00-7";herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Non approuvée;2018-11-14;;candidat à la substitution;;
1966;3347-22-6;fongicide;"Fruits à pépins, Trt Part.Aer., Tavelure(s); Fruits à pépins, Trt Part.Aer., Oïdium(s); Fruits à pépins, Trt Part.Aer., Stemphyliose; Prunier, Trt Part.Aer., Rouille(s); Prunier, Trt Part.Aer., Tavelure(s); Amandier, Trt Part.Aer., Chancres à champignons; Amandier, Trt Part.Aer., Coryneum; Amandier, Trt Part.Aer., Tavelure(s) et polystigma";Approuvée;2027-01-31;Oui;;1.3;H302 H400 H410
1177;330-54-1;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Non approuvée;2020-09-30;;;;
2933;2439-10-3;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Approuvée;2026-07-15;Oui;;8.2;H302 H315 H319 H400 H410
5577;37338-40-2;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;2023-08-31;Oui;biocontrôle;;
5559;33956-49-9;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Approuvée;2037-08-30;Oui;biocontrôle;;H315 H317 H319 H336 H411
1493;60-00-4;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Non approuvée;;;;;
7739;155569-91-8;insecticide;"Fruits à pépins, Trt Part.Aer., Chenilles foreuses des fruits; Fruits à pépins, Trt Part.Aer., Chenilles phytophages; Artichaut, Trt Part.Aer., Chenilles phytophages; Haricots, Trt Part.Aer., Chenilles phytophages (1); Laitue, Trt Part.Aer., Chenilles phytophages; Pêcher - Abricotier, Trt Part.Aer., Chenilles foreuses des fruits; Porte graine - PPAMC, Florales et Potagères, Trt Part.Aer., Chenilles phytophage; PPAMC, Trt Part.Aer., Ravageurs divers";Approuvée;2026-11-15;Oui;candidat à la substitution;0.033;H301 H311 H318 H331 H370 H372 H400 H410
1744;133855-98-8;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;2020-04-30;;candidat à la substitution;;
1809;66230-04-4;insecticide;"Agrumes, Trt Part.Aer., Mouches des fruits; Cerisier, Trt Part.Aer., Mouches des fruits; Kaki, Trt Part.Aer., Mouches des fruits; Pêcher - Abricotier, Trt Part.Aer., Mouches des fruits; Fruits à pépins, Trt Part.Aer., Mouches des fruits; Prunier, Trt Part.Aer., Mouches des fruits; Vigne, Trt Part.Aer., Mouches";Approuvée;2026-05-31;Oui;candidat à la substitution;0.0001;H301 H317 H331 H370 H373 H400 H410
2093;16672-87-0;régulateur de croissance;"Seigle, Trt Part.Aer., Régul. Croiss. Org. Aériens; Porte graine, Trt Part.Aer., Act. Croiss. Florais.; Lin, Trt Part.Aer., Régul. Croiss. Org. Aériens; Orge, Trt Part.Aer., Régul. Croiss. Org. Aériens; Blé, Trt Part.Aer., Régul. Croiss. Org. Aériens; Tournesol, Désherbage; Tournesol, Trt Part.Aer., Régul. Croiss. Org. Aériens; Maïs doux, Trt Part.Aer., Régul. Croiss. Org. Aériens";Approuvée;2039-01-31;Oui;;160.0;H302 H311 H314 H332 H411
1184;26225-79-6;herbicide;"Betterave industrielle et fourragère, Désherbage; PPAMC, Désherbage; Graminées fourragères, Désherbage; Porte graine, Désherbage; PPAM - non alimentaires, Désherbage; Porte graine - Graminées fourragères et à gazons, Désherbage; Porte graine - PPAMC, Florales et Potagères, Désherbage; Haricots, Désherbage (1)";Approuvée;2031-10-31;Oui;;15.6;H400 H410
1495;13194-48-4;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;2019-03-21;;candidat à la substitution;;
5623;91-53-2;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;;;;;
5891;74-85-1;régulateur de croissance;Régulation de la croissance des plantes (antigerminatif, etc.).;Approuvée;2026-11-30;Oui;;;H336
5624;80844-07-1;insecticide;"Vigne, Trt Part.Aer., Cicadelles (1); Vigne, Trt Part.Aer., Tordeuses de la grappe; Porte graine - PPAMC, Florales et Potagères, Trt Part.Aer., Coléoptères phytopha; Choux, Trt Part.Aer., Chenilles phytophages; Crucifères oléagineuses, Trt Part.Aer., Coléoptères phytophages; Rosier, Trt Part.Aer., Aleurodes; Rosier, Trt Part.Aer., Pucerons; Arbres et arbustes, Trt Part.Aer., Chenilles phytophages";Approuvée;2027-03-31;Oui;candidat à la substitution;0.0054;H362 H400 H410
5625;153233-91-1;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Approuvée;2028-01-31;Non;candidat à la substitution;;H400 H410
2062;8003-34-7;insecticide;"Rosier, Trt Part.Aer., Acariens; Rosier, Trt Part.Aer., Aleurodes; Plantes d'intérieur et balcons, Trt Part.Aer., Acariens; Plantes d'intérieur et balcons, Trt Part.Aer., Aleurodes; Plantes d'intérieur et balcons, Trt Part.Aer., Pucerons; Cultures florales et plantes vertes, Trt Part.Aer., Aleurodes; Cultures florales et plantes vertes, Trt Part.Aer., Acariens, phytoptes et tarso; Cultures florales et plantes vertes, Trt Part.Aer., Pucerons";Approuvée;2026-06-15;Oui;biocontrôle;0.041;H302 H312 H332 H400 H410
2020;131807-57-3;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;"2021-06-30
2021-09-09";;candidat à la substitution;;
2057;161326-34-7;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;2018-08-14;;;;
2742;120928-09-8;insecticide;"Cucurbitacées à peau comestible, Trt Part.Aer., Acariens; Cucurbitacées à peau non comestible, Trt Part.Aer., Acariens; Fraisier, Trt Part.Aer., Acariens; Pêcher - Abricotier, Trt Part.Aer., Acariens et phytoptes; Fruits à pépins, Trt Part.Aer., Acariens et phytoptes; Prunier, Trt Part.Aer., Acariens et phytoptes; Tomate - Aubergine, Trt Part.Aer., Acariens; Vigne, Trt Part.Aer., Acariens";Approuvée;2026-08-31;Oui;;0.15;H301 H332 H400 H410
1906;114369-43-6;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;2021-04-30;;;;
2078;13356-08-6;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;2014-06-02;;candidat à la substitution;;
2743;126833-17-8;fongicide;"Cassissier, Trt Part.Aer., Pourriture grise; Fraisier, Trt Part.Aer., Pourriture grise et sclérotinioses; Framboisier, Trt Part.Aer., Pourriture grise; Porte graine, Trt Part.Aer., Maladies diverses; Tomate - Aubergine, Trt Part.Aer., Pourriture grise et sclérotinioses; Vigne, Trt Part.Aer., Pourriture grise; Porte graine - PPAMC, Florales et Potagères, Trt Part.Aer., Maladies à sclérotes; Arbres et arbustes, Trt Part.Aer., Pourriture grise";Approuvée;2030-12-31;Oui;;10.1;H411
1187;122-14-5;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;;;;;
5628;71283-80-2;herbicide;Désherbage des cultures, bords de champs, talus ou voiries.;Approuvée;2026-11-30;Oui;;1.9;H317 H373 H400 H410
1967;79127-80-3;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;2021-05-31;;;;
8685;517875-34-2;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Approuvée;2028-10-11;Oui;;0.033;H400 H410
1700;67306-00-7;fongicide;"Betterave industrielle et fourragère, Trt Part.Aer., Maladies du feuillage; Porte graine - Betterave industrielle et fourragère, Trt Part.Aer., Maladies des; Bananier, Trt Part.Aer., Cercosporioses; Orge, Trt Part.Aer., Oïdium(s); Porte graine - Graminées fourragères et à gazons, Trt Part.Aer., Oïdium(s); Blé, Trt Part.Aer., Oïdium(s)";Approuvée;2027-05-15;Oui;;0.33;H302 H315 H317 H318 H332 H335 H336 H361d H373 H400 H410
1189;67564-91-4;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;2019-04-30;;;;
8351;473798-59-3;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;2025-01-15;Non;;9.799999999999999;H400 H410
5630;134098-61-6;insecticide;"Fruits à pépins, Trt Part.Aer., Acariens et phytoptes; Pêcher - Abricotier, Trt Part.Aer., Acariens et phytoptes";Approuvée;2026-06-15;Oui;;0.061;H301 H317 H330 H400 H410
2009;120068-37-3;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;2017-09-30;;candidat à la substitution;;
